text,intent,or_city,dst_city,str_date,end_date,budget
"hi i wanna take a 12 day trip from hiroshima to phoenix, leaving on august 27th.",BookFlight,Hiroshima,Phoenix,August 27th,,
"i live in toronto, can we se what packages are available in cairo from august 17 to september 7?",BookFlight,Toronto,Cairo,August 17,September 7,
we are going to a baseball game then coming back for dinner,None,,,,,
hey there. i've got 6 days of free time and i want to make the most of it.,BookFlight,,,,,
hi! my 3 best friends and i are looking for a trip to neverland between august 16 and 19 on a very tight budget of $3500. what can you do for us?,BookFlight,,Neverland,August 16,19,$3500
you got any flights from new york to naples departing aug 27 returning sep 15?,BookFlight,New York,Naples,Aug 27,Sep 15,
find me something flashy for 6 adults in buenos aires. its my birthday so i don’t care what it costs,BookFlight,,Buenos Aires,,,
"hi, my family and i are booking a trip to sacramento, can you help us?",BookFlight,,Sacramento,,,
"miami to mannheim, september 4, under 3200",BookFlight,miami,mannheim,september 4,,3200
"hi there, i'm looking to go to brasilia between september 30 and october 4, could you help me?",BookFlight,,Brasilia,September 30,October 4,
"hi, i'd like to go to burlington with my fiance.",BookFlight,,Burlington,,,
"hey, i need to get on the next flight to sao paulo.  i'm in portland.",BookFlight,Portland,Sao Paulo,,,
"mexico to ulsan, pronto",BookFlight,Mexico,Ulsan,pronto,,
i'm looking for some pokemon. i heard one was spotted in san antonio. we'd like to leave here on august 26th!,BookFlight,,San Antonio,August 26th,,
i want to leave from santa cruz and go to rome,BookFlight,Santa Cruz,Rome,,,
miami from goiania. 3400 max,BookFlight,Goiania,Miami,,,3400
hi. i'd like to book a trip from nagoya to phoenix from august 15th to august 29th.,BookFlight,Nagoya,Phoenix,August 15th,August 29th,
hey! i have to book a trip for a group of people from beijing to toluca.,BookFlight,Beijing,Toluca,,,
"hello, i'd like to go to kyoto",BookFlight,,Kyoto,,,
i want to go somewhere,BookFlight,,,,,
"hi! i have 6 days vacation and i don’t know where i’d like to go, was hoping you could help.",BookFlight,,,,,
"if you knew who you were talking to you would be shamed of addressing me with such a generic title…...but im trying to book a trip on the low so i won’t ruin your day with that information.
i want to go to salvador and leave form buenos aires. find me the best thing money can buy",BookFlight,Buenos Aires,Salvador,,,
Book my favorite restaurant in London,None,,,,,
hello. please find me a vacation from fort lauderdale to rome!!!,BookFlight,Fort Lauderdale,Rome,,,
excuse me,BookFlight,,,,,
"i need to book a vacation. ok i’m leaving from rio de janeiro
i don’t particularly care about where we go",BookFlight,Rio de Janeiro,,,,
drop what you’re doing and book me a flgith!,BookFlight,,,,,
hi there...this is my first time traveling and i'm so excited! i've lived in boston all my life and want to see the world,BookFlight,Boston,,,,
"i have 0 budget, 16 days vacay, leaving from barcelona and am looking for possible destinations",BookFlight,barcelona,,,,0
"hi, i'm leaving from diagon alley and going to coruscant on a budget of $3400. the dates don't matter, but i cannot afford anything over my budget.",BookFlight,Diagon Alley,Coruscant,,,$3400
"listen up! im marrying my boo on saturday, and afterwards her and i want to have the best honeymoon 4600 can buy
get us to kyoto will ya?",BookFlight,,kyoto,,,4600
".hi.........i need a trip..
2 go.",BookFlight,,,,,
my assistant and i want to get to ciudad juarez over the next couple weeks to take care of a little chihuahua,BookFlight,,ciudad juarez,,,
i'm inquiring to see if you have trips from san jose to calgary,BookFlight,San Jose,Calgary,,,
"santiago to queenstown  7 adults two children
whats the earliest flight you can put me on",BookFlight,Santiago,Queenstown,earliest,,
hi im looking to go to monterrey,BookFlight,,monterrey,,,
hi there. looking to get out of toronto with a few friends,BookFlight,Toronto,,,,
can you get me to kyoto,BookFlight,,Kyoto,,,
"rome to goiania and i will go from september eight until twenty five
and i have 4900 dollars in budget",BookFlight,rome,goiania,september eight,twenty five,4900
i would like to take my fam jam on a vacation to boston from tijuana.,BookFlight,Tijuana,Boston,,,
hi i want 2 bring my wife and kid 2 boston from philadelphia for 1600 from august 30 until september 14,BookFlight,philadelphia,boston,august 30,september 14,1600
hi! i have 4 children and i would like to take them to santa cruz to visit their mom. we are in monterrey.,BookFlight,Monterrey,Santa Cruz,,,
i have to be in kabul on or after september 6.,BookFlight,,Kabul,September 6,,
"hi, id like to go to goiania with my 4 besties from kobe",BookFlight,Kobe,Goiania,,,
hey i have 14 kids. we wanna go to theed,BookFlight,,theed,,,
hey,BookFlight,,,,,
hi im looking to book my honeymoon,BookFlight,,,,,
hi im from hauston looking to get to my internship,BookFlight,Hauston,,,,
get me to fukuoka,BookFlight,,Fukuoka,,,
"3 adults 2 kids, leaving from burlington, destination tbd",BookFlight,burlington,,,,
send my parents somewhere for 1800 from burlington,BookFlight,Burlington,,,,1800
hi there. i need to find madonna to take pictures of her and her friend. i work for intouch magazine. can you get me to sao paulo from porto?,BookFlight,PORTO,SAO PAULO,,,
"hi. going to throw a bunch of options at you, try to keep up
firstly want to know about trips from seattle to belo horizonte",BookFlight,Seattle,Belo Horizonte,,,
i want to go to fukuoka and i want to leave from kabul.,BookFlight,Kabul,Fukuoka,,,
can i get to pittsburgh from naples?,BookFlight,Naples,Pittsburgh,,,
ok so i need to get from vitoria to a bunch of possible places between september 2 and 21. budget is strictly 3200. can you first look at paris pls,BookFlight,Vitoria,paris,September 2,21,3200
"hi there, i'm looking to book a trip to manaus. do you think you can help me find the best deal?",BookFlight,,Manaus,,,
i would like to find a vacation between the 24th and 27th from san francisco to fort lauderdale for 3800,BookFlight,San Francisco,Fort Lauderdale,24th,27th,3800
i want to leave kabul on or after sept 6 please,BookFlight,Kabul,,Sept 6,,
hi i need to get to calgary asap,BookFlight,,Calgary,,,
good evening,BookFlight,,,,,
september 6th-9th my start-up colleagues and i want to get out of tofino and into maceio. what's available?,BookFlight,Tofino,Maceio,september 6th,9th,
call off reservation,Cancel,,,,,
hi! i want to book a trip for me and four friends for spring break!,BookFlight,,,,,
please get me all the way to chicago,BookFlight,,CHICAGO,,,
I would like to book a hotel in New York,None,,,,,
"good morning! i'm an expat writer living in kobe, richard o'brien, ever heard of me?",BookFlight,Kobe,,,,
yo. im from burlington. want to travel somewhere cool with my bro. between sept 8 and sept 18. you got flights to kingston?,BookFlight,burlington,kingston,sept 8,sept 18,
"hello. oh my next destination is my home.. as soon as i get off work
if i ever get off ....
but you know where i would really love to go?
somewhere with sun.. anywhere really
cleveland is so grey and dead this time of year
i've been dreaming of going down to south america
would i ever be able to get to campinas from here with 5200 dollars?",BookFlight,Cleveland,Campinas,,,5200
i need to get to miami sometimes in the near future,BookFlight,,Miami,,,
please find me a vacation between wed aug 31 and wed sept 21 for 2 adult and 2 kids for 4400$ max. leaving frmom fortaleza. if,BookFlight,fortaleza,,wed aug 31,wed sept 21,4400$
"hello there! i'm trying to plan a vacation here for my family - want to bring my wife and three kids somewhere cool before school starts. i'm looking for something between august 27th and september 16th, and we're looking at a couple of cities",BookFlight,,,August 27th,September 16th,
"from between sept 6 and sept 11, i’m on break. leaving from columbus",BookFlight,Columbus,,Sept 6,Sept 11,
hi there! i'm looking for a nice getaway trip sometime between tomorrow and monday september 26,BookFlight,,,tomorrow,Monday September 26,
"hey! i'm so tired, i just need to get out of busan.",BookFlight,Busan,,,,
"hi there looking to go from sl to kochi today
i've got 2000 budget, hoping to squeeze in a trip",BookFlight,SL,Kochi,,,2000
"hi there. i need to go from beijing to montreal from sept 12-16
1800 max",BookFlight,Beijing,Montreal,Sept 12,16,1800
"hi, i'd like to go to seattle from manaus. i will be with 4 other adults and my 5 children will be coming along as well. i am willing to pay 34800, i will increase that price if needed.",BookFlight,Manaus,Seattle,,,34800
cancel,Cancel,,,,,
i need 2 get 2 madrid from beijing! family emergency. need to leave on the 6th,BookFlight,Beijing,Madrid,6th,,
portland i live i will leave august 31 be back september 17 no more than 3200 dollars go,BookFlight,Portland,,August 31,September 17,3200
yes hi. dublin to osaka,BookFlight,dublin,osaka,,,
hi im from sydney and i want to go to mannheim,BookFlight,Sydney,mannheim,,,
i am travel from septeber 8 until 20. to berlin from santa cruz,BookFlight,berlin,santa cruz,septeber 8,20,
can you get me from cordoba to fukuoka?,BookFlight,Cordoba,Fukuoka,,,
i gotta get outta phoenix,BookFlight,Phoenix,,,,
hey i'm in santo domingo and i need to get to birmingham,BookFlight,santo domingo,birmingham,,,
hey there!,BookFlight,,,,,
"hello! i'm looking for a vacation for me, my wife, and our 2 kids.",BookFlight,,,,,
i'm not having a good day so i'm going to keep this short,BookFlight,,,,,
"hello i need to get to curitiba. im going to need to stay at the most luxurious facility that you have
and im leaving from santos
on or after august 30th",BookFlight,santos,curitiba,august 30th,,
"looking to go on a short jaunt out of town the town in question being sacramento
let me know what my options are if i wanted to leave today, and have 4 days free",BookFlight,sacramento,,today,,
i wanna go to philadelphia,BookFlight,,Philadelphia,,,
i am ze most famous chef and i need to get to kochi from tijuana,BookFlight,Tijuana,Kochi,,,
"on late nights at work, friday nights melting into saturday mornings, i’d dream about the day i can come to you with a booking request. i have september 8 to 25 off
thinking of going somewhere from belo horizonte
do you have a flight to munich?",BookFlight,Belo Horizonte,MUnich,September 8,25,
hi. i have a 6 days vacation. starting friday sept 2 2016. and id like to go to paris,BookFlight,,paris,friday sept 2 2016,,
"hey, i'd like to bring my family on a trip to kobe.",BookFlight,,Kobe,,,
i only have 1800 in the bank though... can't do anything with that i bet,BookFlight,,,,,1800
i need you to book me a trip to san antonio please,BookFlight,,San Antonio,,,
"good morning! i need to book a trip for 7 of my colleagues. there are a couple possible destinations. the first one is to cancun. the departure could be from nagoya
and the trip would ideally be between august 24th and september 11th",BookFlight,Nagoya,Cancun,August 24th,September 11th,
"hey, i need to get back home to milan!",BookFlight,,Milan,,,
hi! can you get me a trip from fortaleza to puebla?,BookFlight,FOrtaleza,Puebla,,,
i want to leave jerusalem on or after september 6th,BookFlight,Jerusalem,,September 6th,,
i am in baltimore want to go to lima,BookFlight,BALTIMORE,LIMA,,,
hi there. i'd like to go to somewhere new. departing from rome. after september 8,BookFlight,Rome,,September 8,,
my lover and i just got married - like today and we wanna fly off to brazil for a week or so. can you get us to buenos aires from toronto for just under 5000 ?,BookFlight,Toronto,Buenos Aires,,,5000
good morning i am writing to inquire about possible booking availabilities,BookFlight,,,,,
hey hey :slightly_smiling_face:,BookFlight,,,,,
"hi there! my wife and i have 5 lovely children.
we are free to travel between august 31 and september 18.
we have a few destinations in mind, first one is sacramento.
oh, and we're located in sendai.",BookFlight,Sendai,Sacramento,August 31,September 18,
good afternoon. i'd like to book a business trip to new york from mannheim. what can you offer?,BookFlight,Mannheim,New York,,,
"yes, hi. i have to bring 4 clients - real big whigs, need to be well handled - on a schmoozing trip",BookFlight,,,,,
i just won the 2900 jackpot on the slot machines!!!! woohoo! i'm wanting to take my cute little grand-babies on a trip to punta cana from santiago.,BookFlight,Santiago,Punta Cana,,,2900
denver to porto alegre please for multiple passengers,BookFlight,Denver,Porto Alegre,,,
hi i'm from minneapolis and i am looking for a 5 day get away for the upcoming long weekend,BookFlight,Minneapolis,,,,
hi i need to get to mexico city,BookFlight,,mexico city,,,
"i'm so excited, i get to take my entire team anywhere i want! money is no object. just gotta make it fit into out busy schedule. we can only go between august 31 and september 3rd.",BookFlight,,,August 31,September 3rd,
hi! i'd like to do some vacation shopping!,BookFlight,,,,,
i am just dying to get to madrid and check out this hot new food truck that serves llama meat tacos. i’m on a limited budget though.. so if you could get me there sometime in the next month or so for like 1100 bucks it would be amazing. let’s try leaving from las vegas maybe?,BookFlight,Las Vegas,Madrid,,,1100
"hi, i was hoping you can help me find a vacation for under 1000. i live in mannheim.",BookFlight,Mannheim,,,,under 1000
hi. i need a vacation. im in berlin and wondering about trips to milan,BookFlight,berlin,milan,,,
i'm going abroad to check out my options for my internship,BookFlight,,,,,
"im just here at the white house
everyones out of town
touring, campaigning
blah blah blah
secret service work was supposed to be thrilling!! i wasnt expecting to just stand around guarding the bathrooms.. making sure the help dont use the first lady's toilet
i wouldnt mind running away from it all to be honest maybe start small.. what could i get to denver for? ",BookFlight,,denver,,,
hello!,BookFlight,,,,,
"hi. i'm just here at work.... stuck at the old computer desk
stuck dreaming about a better place than this one
i have been wanting to get out of santa cruz for ages now
but i never have any vacation days..",BookFlight,Santa Cruz,,,,
"so hey, i'm an intern- it's pretty fantastic/exciting. so anyways i need to go to monterrey between august 27 and september 15. what do you have leaving from stuttgart?",BookFlight,Stuttgart,Monterrey,August 27,September 15,
"i'm looking for a trip to gotham city leaving from kakariko village on saturday, august 13, 2016. 3 adults for no more than $2400 usd.",BookFlight,Kakariko Village,Gotham City,"Saturday, August 13, 2016",,$2400 USD
thank you i really need a vacation. i live in ulsan,BookFlight,Ulsan,,,,
toronto to denver got it?,BookFlight,Toronto,Denver,,,
"hi there, i'm a father of 2 little ones and i'd like to take my kids to visit portland. we'll be departing from kobe",BookFlight,Kobe,Portland,,,
"hi there, i'd like to book a trip to denver please",BookFlight,,Denver,,,
my name is gary peter and i'd like to book a trip to diagon alley from godric's hollow on august 13th.,BookFlight,Godric's Hollow,Diagon Alley,August 13th,,
"hey, i need to get to punta cana! for some important business!",BookFlight,,Punta Cana,,,
need to get to essen,BookFlight,,Essen,,,
hi there! my family and i are looking to go to burlington,BookFlight,,Burlington,,,
"oh man, i need a holiday.",BookFlight,,,,,
i want to go to denver from rosario,BookFlight,Rosario,Denver,,,
beijing to stuttgart.,BookFlight,Beijing,Stuttgart,,,
"my beeeeeauuuuuuutiful wedding will take place in cordoba on saturday and we decided to take a honeymoon after all, even though we will pretty broke from the wedding but it's okay, you only get married once, right?",BookFlight,Cordoba,,Saturday,,
i'd like to make a pilgrimage from jerusalem to indianapolis. there are 8 of us in total,BookFlight,Jerusalem,Indianapolis,,,
i need to go to barcelona,BookFlight,,Barcelona,,,
cancun please,BookFlight,,Cancun,,,
i have 12 days for vacay,BookFlight,,,,,
hey there! the 17 of us wants to get out of tel aviv for a sweet trip.,BookFlight,Tel Aviv,,,,
"good i have 3 days off and wanna leave san antonio. i only have 400 bucks so ill prob have to take a bus but if u can find me a flight that'd be sweet as hell. i'll go wherever, whenever",BookFlight,San Antonio,,,,400
hello you may know me as the best pokemon hunter in the world,BookFlight,,,,,
"hello, please find me a vacation between saturday august 27 2016 and wednesday september 7 2016 for under 6000$ leaving from madrid",BookFlight,madrid,,saturday august 27 2016,wednesday september 7 2016,6000$
can i go to la paz from santos between september 12th and 27th?,BookFlight,Santos,La Paz,september 12th,27th,
do you do flights out of seoul?,BookFlight,Seoul,,,,
"hi, i'm a very interesting person from stuttgart and i need to get myself to sapporo. i am traveling with a friend.",BookFlight,Stuttgart,Sapporo,,,
"kabul to kingston, 11 adults",BookFlight,Kabul,Kingston,,,
reserve a hotel,None,,,,,
do you do flights leaving from tel aviv?,BookFlight,Tel Aviv,,,,
i need to get to baltimore on important business,BookFlight,,Baltimore,,,
hahah silly me... im from santo domingo. i wanna go anywhere on god's green earth. i have 9 days vacation,BookFlight,santo domingo,,,,
"hello, kind stranger.",BookFlight,,,,,
hi! i'd like to go on a trip to monterrey!,BookFlight,,Monterrey,,,
you do flights out of naples?,BookFlight,naples,,,,
i need to get to goiania from beijing today or after but asap. emergency at home.,BookFlight,Beijing,Goiania,asap,,
"hi there, my friends and i would like to go to belo horizonte from tofino for a couple days please.",BookFlight,Tofino,Belo Horizonte,,,
how about dinner,None,,,,,
do you do new york to jerusalem?,BookFlight,New York,Jerusalem,,,
"hi there, i need to go to north vancouver please.",BookFlight,,North Vancouver,,,
"yeah, hey. i need to know if you operate out of tel aviv ",BookFlight,Tel Aviv,,,,
i want to find a vacation between the 7th to 24 for 3100 leaving from cordoba. can you help me find something good?,BookFlight,Cordoba,,7th,24,3100
find me a flight from belo horizonte to brasilia. first class only,BookFlight,Belo Horizonte,Brasilia,,,
"hi i need to check out trips available to houston from athens. 5 adults and business class flights please, leaving after september 6th",BookFlight,Athens,Houston,September 6th,,
hi im from punta cana looking to go on a trip,BookFlight,punta cana,,,,
i have 9 days for vacation. i'm from atlanta and i'd like to leave on or after september 8th,BookFlight,atlanta,,september 8th,,
"i have a vacation starting next week, i can hardly contain my excitement getting out of st. petersburg for 12 days will be dope. what kind of destinations do you offer?",BookFlight,St. Petersburg,,,,
i would like to go to monterrey from stuttgart,BookFlight,Stuttgart,Monterrey,,,
"hi there. i'm trying to take the family somewhere nice this month
i've been working hard to save up all year, and have 23400 to spend",BookFlight,,,this month,,23400
i want to find a vacation between the 12th and 17th for 4 adults and 1 child. we would need to leave from rio de janeiro,BookFlight,Rio de Janeiro,,12th,17th,
"good day, please book me a trip from vancouver, jamaica to recife. i would like to leave for 17 days on august 24.",BookFlight,"Vancouver, Jamaica",Recife,August 24,,
madonna and will smith are on a trip to houston. a picture of them is worth millions. i need to go to houston.,BookFlight,,Houston,,,
hello. i need paris to barcelonna sept 18 to 22,BookFlight,Paris,Barcelonna,Sept 18,22,
hay queen whats gooood. we are interested in getting out of the veg and going to fukuoka.,BookFlight,The Veg,fukuoka,,,
i have 9 days vacation,BookFlight,,,,,
hi i live in kakariko village and i want to go away! where could i go?,BookFlight,Kakariko Village,,,,
ok so i am free to travel from september 13 until the 23.  can you tell me my options for sao paulo leaving from sapporo please,BookFlight,Sapporo,Sao Paulo,september 13,23,
"hey, i need to get to mannheim asap",BookFlight,,Mannheim,,,
hello! i'd like to book something for myself. i have quite a few vacation days coming up,BookFlight,,,,,
i want to go to sapporo,BookFlight,,Sapporo,,,
"i'd like to book a trip for myself, from tel aviv to tampa from, departing aug 21, returning aug 24. do you have such a flight for me?",BookFlight,Tel Aviv,Tampa,Aug 21,Aug 24,
hi! we are getting married in beautiful cleveland underneath the redwoods next weekend. we've been soooooo busy we forgot about the honeymoon! do you have any last minute special to porto?,BookFlight,Cleveland,Porto,,,
"hi there, we're looking to go on a family vacation and we'll be leaving from cancun. we don't have a destination in mind though and so i was helping you'd help us with that.",BookFlight,Cancun,,,,
hi there. we are three adults trying to get from frankfurt to check out some of the hippest cities on earth,BookFlight,Frankfurt,,,,
yes! i'm booking for 20 of us! heard recife is a sweet destination,BookFlight,,Recife,,,
"i'm good, thanks! i'm looking to book a trip for a group of children with me as their chaperone.",BookFlight,,,,,
hi i want to go to toluca from burlington ok,BookFlight,burlington,toluca,,,
"ulsan to vitoria, 1 business class ticket",BookFlight,ulsan,vitoria,,,
hi. well i’m trying to treat myself with a vacatoin. i’m thinking of going to chicago. leaving form seattle,BookFlight,Seattle,Chicago,,,
"get me on a flight to san antonio, stat! i need to leave on september 1",BookFlight,,San Antonio,September 1,,
kabul to marseille!!!!!,BookFlight,Kabul,Marseille,,,
hello! i live in pueblla and i must go for a internship to 1 of 3 places. i need to shop around a little as i have very little money. can you aid me with this task,BookFlight,Pueblla,,,,little
hey there,BookFlight,,,,,
"i should hope so. vancouver to berlin
5 star hotel, business class, the works",BookFlight,Vancouver,Berlin,,,
san jose to guadalajara,BookFlight,san jose,guadalajara,,,
i need to get to philadelphia from denver,BookFlight,denver,philadelphia,,,
ay bruh i got 3300 and some naggy ass parental figures i need out of my hair. where can u get 2 adults from maceio between like ... september 11th and 24th within my budget?,BookFlight,maceio,,september 11th,24th,3300
hi imm looking to book a vacation to curitiba,BookFlight,,Curitiba,,,
i want to go to leon from nagoya between the 13th and october 2nd.,BookFlight,Nagoya,Leon,13th,october 2nd,
i need to get to san antonio from tampa,BookFlight,TAMPA,SAN ANTONIO,,,
"hello :slightly_smiling_face: can you believe it? my psychotic boss finally gave me a few days off! i feel like a thousand pounds have been lifted off my shoulders, and i can't wait to book the perfect trip!
i live in san diego, but thinking of going to busan",BookFlight,San Diego,Busan,,,
haayyyyy,BookFlight,,,,,
i need to get to north vancouver to shoot my movie. coming from birmingham,BookFlight,Birmingham,North Vancouver,,,
"hello there. i am the father of a group of 4 spoiled, privileged brats
i've decided to book them a trip to see how those in less fortunate parts of the world live
give them some perspective, you know?
see if you can get me, my wife, and the four kids to guadalajara, from calgary",BookFlight,Calgary,Guadalajara,,,
i need to get to porto alegre for 9 days from seattle. i only got 3600 dollars and need to get there september first. ,BookFlight,seattle,porto alegre,september first,,3600 dollars
yes! i choose tampa! there lies my destiny.,BookFlight,,Tampa,,,
"hi there. i’d like to book a trip for 10 adults from august 29 to sept 1, from tofino to vancouver",BookFlight,Tofino,Vancouver,August 29,Sept 1,
"i'd like to book a trip from london to somewhere, for august 17th to august 31st.",BookFlight,London,,August 17th,August 31st,
"i have 7 kids and we would like to go to dublin. they want to see their mom, she works there. we live in santa cruz.",BookFlight,Santa Cruz,Dublin,,,
just want to type,None,,,,,
"hi! i want to book a 5 day trip leaving from santa cruz on september 2nd. i don't have a destination in mind yet, what would you recommend?",BookFlight,Santa Cruz,,September 2nd,,
me and 3 friends are going on fall break and want to go to san diego from calgary from the 8th to 25th and we have 14000 between us.,BookFlight,Calgary,San Diego,8th,25th,14000
i need your help!,BookFlight,,,,,
"hey there!! hope i’m in the right place for family travel :wink: i have 7 kids
and a wife and 3 mistresses",BookFlight,,,,,
barcelona is calling me. please show me the way there from belo horizonte.,BookFlight,Belo Horizonte,Barcelona,,,
"hey dude. ive benn in ulsan for 2 years now with no break from work
i wanna go back to calgary and visit the fam.",BookFlight,ulsan,calgary,,,
"please help! my lovely parents have been married fof 20 years and they've never taken a trip together. i'm thinking of getting them out of town sept 6 to 9
you got anything good for 2 adults leaving sao paulo, for under 2400?",BookFlight,sao paulo,,Sept 6,9,under 2400
"hey-oh! i need to leave indianapolis tomorrow after my wedding
two adults travelling, of course, and we want to go to kingston for 9 days. what can you give me?",BookFlight,Indianapolis,Kingston,,,
hi i need to go to ba,BookFlight,,BA,,,
"rio de janeiro to anywhere, stat. ",BookFlight,Rio de Janeiro,,,,
i need to get to marseille from dallas,BookFlight,Dallas,Marseille,,,
"hi there,",BookFlight,,,,,
"i am young and rich and oh so cool and i want to give myself the best birthday bash ever just like the kardashians, but better even. i need you to find me the best place eveeeer to go party with my crew of super cool girls.",BookFlight,,,,,
burlington to busan. aug 30 to sept 10. got a flight dude?,BookFlight,Burlington,Busan,Aug 30,Sept 10,
"hi there. i’d like for you to take me anywhere really
do you do flights out of milan?",BookFlight,Milan,,,,
"hey, we're having a huge family trip. think you can help us?",BookFlight,,,,,
"well i am currently living permanently in a cubicle on the 8th floor of a building in puebla but i want to pretend i am somewhere else instead. fly me to leon please
whats the fanciest place i can go to for 3600",BookFlight,Puebla,Leon,,,3600
"hello there. i’m trying to get to to sapporo
from paris",BookFlight,Paris,Sapporo,,,
i need to find a nice travel package that is available between today and friday sept 16,BookFlight,,,today,Sept 16,
ayoooo. spring break buddy. i wanna go somewhere nice and cold for spring break :smile: toronto maybe?,BookFlight,,Toronto,,,
hi. im just trying to see what i can do with 3000,BookFlight,,,,,3000
i know where mewtwo is!!! i have it from a very good source and i'm gonna go hunt him down!,BookFlight,,,,,
what packages do you have available between september 7th and 13th from columbus to punta cana?,BookFlight,Columbus,Punta Cana,september 7th,13th,
hey hey. got 6 days off starting sept 8. flying out from cleveland. got any recommendations?,BookFlight,Cleveland,,Sept 8,,
i want to go to washington. from madrid,BookFlight,Madrid,Washington,,,
valencia to munich. sept 8 to 26,BookFlight,valencia,munich,sept 8,26,
cancel reservation,Cancel,,,,,
my next destination is mexico city! but can i get there from tijuana is the million dollar question,BookFlight,Tijuana,Mexico City,,,
"hi! i'd like to plan my honeymoon, but i've spent way too much on my wedding and need to stick to a budget of $4600. can you offer anything to marseille for 5 days leaving from salvador on august 17?",BookFlight,Salvador,Marseille,August 17,,$4600
you can send me to manaus pronto,BookFlight,,Manaus,,,
"hi, i'm trying to book a trip from madrid.",BookFlight,Madrid,,,,
"hello, anybody there?",BookFlight,,,,,
can you do flights for kyoto for under 5000? this is for two people,BookFlight,,Kyoto,,,5000
hi i want to get out of ciudad juarez from yesterday to two weeks from sunday coming ok,BookFlight,CIUDAD JUAREZ,,YESTERDAY,TWO WEEKS FROM SUNDAY,
"get me and my 7 bros out of houston ok? 10300 to spend
what can we find in puebla",BookFlight,houston,puebla,,,10300
"help! i need to get my family out of kabul, we would prefer being in marseille at the moment.",BookFlight,Kabul,Marseille,,,
hey. i wanna go from birmingham,BookFlight,birmingham,,,,
looking to take my squad out to punta cana! i’ll pay whatever it takes to fly out of tel aviv,BookFlight,Tel Aviv,Punta Cana,,,
hi i live in seattle and i really have to get out of this seedy town for a while,BookFlight,Seattle,,,,
heyyy! i would like to book an awesome trip for me and ma gurls from fort lauderdale to minneapolis.,BookFlight,Fort Lauderdale,Minneapolis,,,
